Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
0,"0.847455, 1274.92, 318.36","312.507, 0.768216, 1372.08","0.8334, 1425.19, 486.107","1360.28, 450.824, 0.0538655","0.719434, 330.161, 1171.97","0.412858, 462.621, 1166.16",0,"0.462051, 1274.9, 653.905","648.056, 0.473479, 1351.43","0.601429, 1381, 909.993","0.0560208, 1074.9, 1404.47","0.436848, 653.89, 1198.37","1168.97, 921.726, 0.677628",0,"0.119309, 221.162, 1351.57",0,"0.813868, 227.088, 1342.57","0.262897, 1257.25, 227.173",0,0,0,0,0,0,
0,"1280.68, 0.865165, 318.293","312.365, 0.765611, 1375.04","0.812788, 483.264, 1430.95","0.0932504, 1363.2, 436.095","0.701894, 1177.84, 327.238","0.298872, 1169.05, 462.564",0,"0.455257, 1274.92, 653.903","0.451557, 653.886, 1351.33","912.931, 0.608039, 1383.84",0,"0.440487, 650.993, 1204.23","0.711602, 907.097, 1183.72","0.0606651, 1074.9, 1163.07","0.101906, 1369.01, 218.247",0,"0.902613, 227.115, 1351.36","0.235061, 227.145, 1260.33",0,0,0,0,0,0,
0,"1280.72, 0.863974, 318.249","0.764108, 309.549, 1375.11","0.819819, 1442.63, 483.08","1360.26, 0.0640328, 436.142","0.71346, 1177.84, 324.331","0.23888, 459.598, 1174.87",0,"0.460843, 651, 1269.08","0.45994, 1348.51, 653.91","0.65185, 1380.89, 910.041",0,"648.019, 0.445851, 1198.43","0.703642, 1186.68, 907.068","0.0861054, 1074.89, 1163.12","0.0914034, 1369.1, 215.324",0,"224.251, 0.901189, 1351.37","224.332, 0.2733, 1263.13",0,0,0,0,0,0,
0,"1280.89, 0.885188, 318.254","312.396, 1377.9, 0.764799","0.846398, 483.103, 1445.55","456.762, 0.0849175, 1357.33","0.72679, 321.401, 1186.51","0.225305, 1180.78, 471.418",0,"0.460168, 653.931, 1263.24","0.435926, 1345.56, 659.789","912.91, 0.64887, 1383.79",0,"1192.52, 0.457724, 648.055","904.058, 0.723369, 1189.53","0.0632345, 1074.9, 1166.12","0.135556, 209.524, 1372.06",0,"0.912805, 221.351, 1351.41","224.306, 1266.16, 0.207633",0,0,0,0,0,0,
0,"1280.87, 0.886536, 318.264","312.421, 1377.91, 0.774467","0.848229, 483.1, 1445.53","0.074228, 436.112, 1357.38","0.723506, 321.419, 1183.61","0.266031, 1180.74, 471.452",0,"656.832, 1266.1, 0.46542","0.452477, 1348.43, 662.703","0.701147, 1378.08, 907.047",0,"0.460185, 650.945, 1195.42","1192.47, 0.698926, 903.994",0,"0.153885, 1372.02, 215.345",0,"224.187, 0.922241, 1351.41","0.198178, 1266.09, 227.11",0,0,0,0,0,0,
0,"1280.69, 0.876204, 318.312","0.778495, 315.282, 1375.04","480.326, 0.831084, 1430.87",0,"0.724689, 1180.71, 324.279","0.234944, 1177.83, 474.365",0,"656.823, 0.481953, 1263.18","0.453409, 659.779, 1342.59","0.709614, 1378.05, 910",0,"1192.54, 0.480232, 650.932","1192.55, 0.715805, 901.169","1168.92, 1074.9, 0.0522088","0.134091, 1372, 215.393",0,"224.286, 0.903662, 1351.36","0.208348, 227.117, 1263.17",0,0,0,0,0,0,
0,"0.838203, 1274.93, 318.279","312.538, 0.731321, 1366.14","0.845831, 1425.08, 483.276","0.0877631, 1401.61, 383.096","0.720608, 324.292, 1183.64","0.205997, 474.36, 1174.84",0,"0.476547, 650.995, 1260.29","656.834, 0.455935, 1333.8","0.672313, 924.689, 1380.97",0,"0.480272, 1189.69, 645.103","1192.56, 0.727213, 904.154",0,"0.163054, 218.272, 1357.36",0,"0.839797, 1345.55, 227.107","0.161196, 227.206, 1260.33",0,0,0,0,0,0,
"221.307, 0.287127, 1333.8","294.96, 0.674096, 1222","0.706497, 291.743, 1271.99","0.818598, 477.353, 1351.36","0.829064, 362.427, 1375.12","0.528186, 1171.93, 309.526",0,0,"0.455632, 1213.19, 653.933","656.861, 1266.06, 0.411136","0.692456, 1330.82, 948.209",0,"0.420184, 659.753, 1165.98","0.736871, 1204.23, 909.929",0,"200.635, 0.559718, 1330.91",0,"1304.4, 0.901177, 203.586",0,0,0,0,0,0,0,
"224.213, 1330.96, 0.21127","0.639827, 1219.04, 300.774","0.715935, 1266.06, 294.825","0.819482, 477.314, 1351.41","0.810258, 362.433, 1374.92","312.504, 1169.05, 0.509972","480.235, 0.0574211, 1254.28",0,"0.451848, 1213.08, 662.725","0.415991, 665.647, 1263.2","0.699547, 942.304, 1327.96",0,"0.41328, 665.627, 1163.06","0.721139, 1195.53, 907.136",0,"0.336493, 203.659, 1327.98",0,"1304.25, 0.778882, 206.6",0,0,0,0,0,0,0,
"0.285993, 1331.02, 227.091","1216.06, 0.682759, 306.617","0.714628, 294.893, 1263.24","0.767016, 477.298, 1342.59","0.714218, 362.5, 1372.05","0.568229, 315.417, 1166.04",0,0,"0.455882, 1210.11, 659.768","0.436514, 665.638, 1260.13","0.706627, 945.258, 1327.95",0,"0.413322, 1157.24, 653.904","1192.6, 0.737679, 906.978",0,"0.479963, 1330.75, 206.552",0,"1304.27, 0.820295, 212.403",0,0,0,0,0,0,0,
