Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"287.535,129.74,0.898515","266.732,145.354,0.856196","244.53,142.728,0.854244","245.768,197.53,0.840944","265.433,162.324,0.761038","288.919,149.254,0.839496","308.504,202.737,0.898897","317.538,174.048,0.788611","268.048,258.887,0.723275","253.61,264.065,0.700904","241.876,328.008,0.792262","223.603,381.512,0.868191","287.541,256.291,0.768449","308.416,318.844,0.88022","316.293,388.029,0.762808","283.641,121.91,0.824246","291.478,123.182,0.751456","266.745,117.914,0.894898","0,0,0","316.262,412.901,0.803345","324.118,411.522,0.776036","309.808,391.987,0.637484","234.08,405.017,0.78132","223.684,402.449,0.798082","217.136,382.868,0.732689",
"287.548,130.94,0.918055","266.75,145.355,0.856958","244.535,142.763,0.837962","244.492,196.247,0.798399","265.41,171.407,0.71217","291.494,149.28,0.816412","309.777,202.797,0.856813","308.433,181.913,0.79493","269.298,256.309,0.708917","253.622,260.175,0.668245","239.315,326.743,0.736272","223.609,381.49,0.86769","287.567,254.985,0.747217","308.486,317.585,0.828817","317.584,381.515,0.632379","283.631,123.168,0.825763","291.482,123.176,0.79103","266.744,117.917,0.888251","0,0,0","317.594,414.156,0.465394","325.426,411.568,0.447765","313.693,390.664,0.417866","234.123,405.014,0.790469","224.92,402.46,0.815075","217.117,382.854,0.736633",
"287.531,129.736,0.912232","268.057,146.663,0.816646","244.555,142.731,0.842778","241.911,197.561,0.782785","262.787,167.526,0.722949","295.428,150.549,0.848825","309.789,204.037,0.873904","308.49,179.275,0.808431","270.615,256.295,0.72282","253.648,258.892,0.694962","236.721,328.049,0.789899","223.599,381.52,0.865143","287.647,254.962,0.757215","308.507,317.593,0.854791","320.221,385.432,0.698261","282.374,121.908,0.824363","291.504,123.155,0.797069","266.774,116.624,0.860183","0,0,0","317.577,412.857,0.783959","327.972,411.521,0.745926","320.201,391.945,0.571097","234.09,405.041,0.793336","223.686,403.695,0.80658","218.403,382.87,0.72787",
"432.481,130.937,0.945721","449.36,149.25,0.825037","422.024,149.214,0.840881","403.743,201.425,0.832543","399.778,174.054,0.789851","475.448,149.211,0.807112","493.739,202.794,0.892005","474.184,166.215,0.728692","445.477,254.921,0.723874","429.834,253.669,0.678973","423.322,331.924,0.807103","431.12,373.695,0.811256","463.771,254.946,0.739326","454.639,325.389,0.812941","465.125,405.042,0.742245","431.074,123.155,0.792791","438.927,123.153,0.850336","0,0,0","453.355,117.943,0.91669","444.142,425.9,0.765063","453.318,428.507,0.657213","474.184,412.906,0.745089","431.137,397.208,0.829441","423.262,392.034,0.821952","433.77,373.702,0.739843",
"432.442,129.683,0.947809","448.071,147.961,0.818653","422.013,149.235,0.831626","414.136,200.117,0.811031","405.013,171.425,0.742587","475.431,144.068,0.820512","489.826,202.714,0.855697","474.125,164.93,0.71157","446.807,253.64,0.707369","432.384,253.612,0.719156","423.319,328.02,0.800156","432.47,373.725,0.834019","465.009,254.927,0.736592","454.626,326.696,0.831562","466.342,407.61,0.745657","429.787,121.859,0.789856","436.357,121.845,0.875295","0,0,0","453.272,116.608,0.887006","444.11,425.91,0.779538","453.284,428.512,0.672895","474.202,414.16,0.759941","431.077,398.482,0.836411","423.259,392.042,0.842165","437.66,375.013,0.703581",
"432.443,129.65,0.929103","448.104,147.924,0.797569","423.246,149.22,0.804505","419.355,196.245,0.790414","410.248,164.914,0.651661","475.466,144.071,0.82044","485.95,200.162,0.864925","466.396,161.038,0.706147","446.797,254.925,0.723122","432.404,253.645,0.745991","423.319,320.238,0.81226","438.965,375.027,0.781914","464.988,256.234,0.745699","454.617,328.038,0.860668","466.326,406.328,0.751014","428.506,120.622,0.820903","436.353,120.598,0.883978","0,0,0","453.273,115.324,0.882134","442.915,425.915,0.800005","453.288,428.511,0.684211","474.209,414.144,0.771665","425.929,397.186,0.802363","423.25,391.96,0.849064","444.244,380.167,0.806838",
"432.419,129.655,0.941568","450.669,145.358,0.798419","423.358,147.964,0.766588","420.649,194.974,0.82144","411.555,159.702,0.652874","475.432,142.749,0.834428","485.866,200.123,0.871845","467.646,163.608,0.704109","449.375,253.658,0.719209","432.46,253.616,0.749491","423.359,321.503,0.799619","442.882,376.313,0.805094","465.028,254.963,0.745616","454.613,328.046,0.859827","466.326,405.025,0.734472","427.217,120.63,0.827781","435.074,120.592,0.906669","0,0,0","453.236,115.303,0.879454","442.908,427.182,0.803798","453.293,428.526,0.703332","474.232,412.867,0.759061","424.604,397.205,0.792968","423.329,391.968,0.799096","450.706,380.245,0.709065",
"432.477,129.654,0.927357","449.392,142.736,0.830787","423.335,144.051,0.765583","420.671,196.213,0.815469","411.578,162.327,0.683682","475.454,141.473,0.84103","484.587,197.533,0.827165","463.786,155.782,0.706767","449.37,254.914,0.721846","432.461,253.645,0.754633","425.919,320.219,0.753041","444.166,378.906,0.82683","465.028,254.98,0.743322","454.621,326.739,0.832461","465.108,405.014,0.71188","428.511,121.831,0.83604","437.647,120.586,0.875488","0,0,0","453.246,114.04,0.883078","442.9,427.191,0.783205","453.274,428.531,0.691809","474.218,412.849,0.747015","425.9,397.176,0.775752","424.608,391.963,0.783745","452.013,381.582,0.706984",
"432.454,129.669,0.943594","449.393,141.498,0.850261","424.589,142.71,0.794041","419.39,194.923,0.830911","411.526,162.355,0.723301","474.227,141.482,0.851334","484.601,196.239,0.862617","465.029,161.048,0.780498","450.665,252.336,0.697798","433.677,251.031,0.730154","427.184,320.211,0.769673","445.523,377.614,0.786025","465.048,253.652,0.722531","454.607,325.388,0.818384","465.095,402.428,0.679216","428.497,121.852,0.83069","436.357,120.613,0.878628","0,0,0","453.248,114.033,0.896273","444.143,427.183,0.722821","453.281,428.495,0.638946","474.194,411.569,0.693321","425.899,394.584,0.839101","427.2,391.919,0.807843","453.355,381.54,0.676038",
"432.418,129.649,0.929868","451.962,142.759,0.850379","425.906,142.762,0.774156","418.074,193.68,0.845244","410.245,161.04,0.748199","475.467,142.721,0.833522","483.324,198.866,0.814509","463.685,161.009,0.781826","450.657,253.665,0.713105","433.675,253.613,0.731822","428.518,322.801,0.765947","446.782,378.903,0.795553","465.044,254.97,0.730802","453.351,326.682,0.842962","465.091,402.42,0.697007","427.199,121.845,0.816001","435.068,120.599,0.893706","0,0,0","452.014,115.331,0.872286","444.137,427.19,0.731782","453.273,428.497,0.647566","474.198,411.557,0.722311","425.913,394.603,0.835978","427.223,391.932,0.807319","454.542,381.576,0.685958",
