Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
" 1236.74,  309.494,  0.879656"," 1333.86,  371.378,  0.803522"," 1280.9,  388.898,  0.778321"," 1277.81,  527.35,  0.731625"," 1219.06,  436.121,  0.752154"," 1398.43,  362.368,  0.778725"," 1313.2,  480.24,  0.826586"," 1257.32,  380.174,  0.818946"," 1330.76,  651.002,  0.62205"," 1283.68,  648.064,  0.627824"," 1239.68,  857,  0.702867"," 1283.67,  1074.83,  0.600056"," 1377.86,  656.854,  0.581647"," 1377.98,  898.195,  0.725606"," 1454.42,  1074.9,  0.0606955"," 1236.61,  291.913,  0.207104"," 1254.34,  288.902,  0.885745"," 0,  0,  0"," 1307.39,  280.126,  0.874134"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.74,  1074.9,  0.114846"," 1283.78,  1074.91,  0.107711"," 1289.63,  1074.88,  0.356086",
" 1236.75,  309.546,  0.879174"," 1336.69,  371.367,  0.793568"," 1283.78,  388.924,  0.770989"," 1277.86,  524.373,  0.694541"," 1224.87,  436.05,  0.731131"," 1398.4,  359.627,  0.77815"," 1313.19,  480.21,  0.8248"," 1257.35,  383.062,  0.826877"," 1330.77,  651.008,  0.613704"," 1283.73,  648.062,  0.623498"," 1245.53,  865.832,  0.653425"," 1283.75,  1074.85,  0.539292"," 1377.84,  656.866,  0.563436"," 1380.86,  903.991,  0.721542"," 1454.49,  1074.9,  0.0634489"," 1236.6,  291.942,  0.204459"," 1254.34,  288.911,  0.887627"," 0,  0,  0"," 1307.37,  283.026,  0.875275"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.79,  1074.9,  0.115194"," 1283.77,  1074.91,  0.101408"," 1289.7,  1074.89,  0.293208",
" 1236.7,  306.623,  0.874302"," 1333.91,  365.603,  0.819113"," 1280.91,  383.13,  0.744777"," 1277.86,  521.39,  0.656807"," 1224.92,  430.225,  0.668557"," 1398.49,  359.505,  0.768672"," 1310.36,  480.212,  0.814461"," 1257.31,  383.09,  0.829908"," 1330.91,  648.096,  0.62602"," 1283.86,  648.01,  0.624492"," 1254.28,  851.105,  0.59261"," 1283.74,  1074.84,  0.599402"," 1378,  653.897,  0.573866"," 1386.74,  901.086,  0.708543"," 1460.32,  1074.9,  0.0696594"," 1236.63,  291.783,  0.172042"," 1254.29,  286.021,  0.863867"," 0,  0,  0"," 1307.33,  280.119,  0.878664"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.82,  1074.89,  0.145789"," 1280.79,  1074.9,  0.140105"," 1289.65,  1074.88,  0.337924",
" 1236.8,  300.772,  0.872351"," 1336.72,  365.499,  0.833642"," 1283.73,  383.151,  0.755497"," 1269.09,  515.531,  0.675805"," 1221.99,  421.336,  0.673107"," 1398.43,  350.719,  0.75004"," 1310.35,  480.139,  0.813279"," 1257.37,  383.027,  0.838649"," 1333.75,  651.01,  0.610827"," 1283.89,  648.083,  0.607824"," 1257.34,  859.995,  0.643513"," 1283.84,  1074.87,  0.376692"," 1380.95,  659.761,  0.558618"," 1389.7,  895.259,  0.699195"," 1463.23,  1074.9,  0.0564135"," 1236.68,  286.025,  0.128935"," 1254.34,  280.159,  0.870996"," 0,  0,  0"," 1307.37,  277.124,  0.873505"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1292.57,  1074.9,  0.166523",
" 1239.56,  300.717,  0.874694"," 1336.74,  362.639,  0.829541"," 1283.72,  374.298,  0.719368"," 1274.94,  509.697,  0.709141"," 1224.88,  421.399,  0.723284"," 1398.5,  347.816,  0.762068"," 1313.19,  477.24,  0.792463"," 1260.17,  377.277,  0.810697"," 1333.75,  648.08,  0.594395"," 1283.9,  648.008,  0.585882"," 1266.09,  877.598,  0.66584"," 1283.8,  1074.87,  0.346571"," 1380.91,  653.913,  0.547462"," 1395.49,  895.239,  0.713943"," 1466.18,  1074.9,  0.0848026"," 1236.74,  286.058,  0.111328"," 1257.11,  280.077,  0.881029"," 0,  0,  0"," 1310.23,  274.256,  0.849195"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1292.54,  1074.9,  0.154568",
" 1239.64,  297.788,  0.883722"," 1336.7,  362.646,  0.843045"," 1280.93,  377.268,  0.732955"," 1271.95,  509.662,  0.696317"," 1221.94,  418.404,  0.714096"," 1398.51,  344.892,  0.780552"," 1313.22,  477.192,  0.793509"," 1260.14,  368.388,  0.833289"," 1333.87,  651.022,  0.580724"," 1286.72,  650.979,  0.567714"," 1263.21,  874.672,  0.663601"," 1283.83,  1074.87,  0.342591"," 1383.87,  656.853,  0.540193"," 1395.57,  892.316,  0.716063"," 1466.17,  1074.89,  0.103628"," 1239.57,  283.048,  0.120973"," 1257.2,  277.179,  0.90873"," 0,  0,  0"," 1310.29,  274.262,  0.85057"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1292.55,  1074.9,  0.151689",
" 1239.6,  297.783,  0.885655"," 1339.73,  362.648,  0.829124"," 1283.87,  377.189,  0.711512"," 1269.05,  506.825,  0.673808"," 1219.04,  415.461,  0.722266"," 1398.55,  344.978,  0.765796"," 1313.26,  474.371,  0.78873"," 1260.22,  368.482,  0.834052"," 1342.6,  650.941,  0.576589"," 1298.42,  648.057,  0.560785"," 1263.19,  862.914,  0.644479"," 1283.79,  1074.87,  0.421887"," 1389.68,  653.938,  0.532839"," 1395.53,  892.347,  0.709762"," 1466.17,  1074.9,  0.0856401"," 1236.81,  283.047,  0.130997"," 1257.21,  277.16,  0.910965"," 0,  0,  0"," 1310.34,  274.273,  0.848158"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1292.55,  1074.89,  0.197275",
" 1239.64,  297.799,  0.879292"," 1339.67,  365.435,  0.831031"," 1283.78,  377.274,  0.732685"," 1272,  512.686,  0.647503"," 1219.01,  418.411,  0.710855"," 1398.58,  353.646,  0.74376"," 1321.99,  474.401,  0.789794"," 1260.26,  371.326,  0.83691"," 1342.64,  653.936,  0.571762"," 1295.56,  651.012,  0.557861"," 1260.15,  865.776,  0.702207"," 1283.84,  1074.86,  0.510339"," 1392.6,  659.806,  0.54321"," 1395.51,  901.066,  0.718018"," 1466.15,  1074.9,  0.0615325"," 1239.56,  283.037,  0.141932"," 1257.24,  277.131,  0.915068"," 0,  0,  0"," 1313.15,  274.211,  0.857222"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1286.74,  1074.89,  0.116852"," 1286.68,  1074.91,  0.100512"," 1292.57,  1074.89,  0.260091",
" 1239.61,  297.841,  0.874641"," 1345.58,  365.482,  0.834133"," 1286.71,  374.269,  0.709978"," 1280.73,  518.495,  0.689085"," 1224.93,  430.158,  0.762147"," 1401.54,  359.583,  0.77066"," 1327.79,  480.242,  0.853011"," 1260.27,  368.507,  0.830836"," 1339.73,  653.894,  0.580258"," 1295.54,  650.95,  0.570156"," 1257.25,  857.008,  0.700538"," 1283.8,  1074.85,  0.542505"," 1389.67,  659.799,  0.543727"," 1386.79,  892.309,  0.693937"," 1466.18,  1074.9,  0.0809356"," 1236.78,  283.079,  0.209226"," 1257.28,  277.191,  0.909169"," 0,  0,  0"," 1310.37,  274.256,  0.854138"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.78,  1074.9,  0.115685"," 1283.74,  1074.91,  0.101802"," 1289.72,  1074.89,  0.284017",
" 1239.64,  297.777,  0.878773"," 1345.56,  365.516,  0.833494"," 1283.78,  374.266,  0.741117"," 1277.84,  512.658,  0.660817"," 1224.87,  430.181,  0.740597"," 1404.39,  362.394,  0.773512"," 1328,  483.081,  0.891043"," 1263.13,  374.335,  0.79323"," 1336.73,  656.809,  0.595573"," 1289.68,  651.022,  0.584543"," 1257.3,  856.949,  0.65714"," 1283.72,  1074.85,  0.547732"," 1383.83,  662.701,  0.553625"," 1386.73,  889.41,  0.693692"," 1466.19,  1074.9,  0.0742173"," 1236.79,  283.045,  0.199397"," 1257.31,  277.181,  0.910014"," 0,  0,  0"," 1313.19,  274.32,  0.846774"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.77,  1074.9,  0.113152"," 1283.74,  1074.91,  0.101549"," 1289.65,  1074.89,  0.281486",
" 1242.5,  294.941,  0.890255"," 1342.66,  365.365,  0.839707"," 1280.8,  368.356,  0.760881"," 1277.91,  512.587,  0.662215"," 1222,  427.267,  0.730325"," 1407.39,  359.599,  0.741534"," 1330.73,  483.074,  0.899259"," 1266.08,  371.345,  0.7724"," 1333.88,  653.872,  0.618958"," 1286.73,  650.96,  0.615941"," 1257.25,  856.965,  0.693795"," 1283.76,  1074.86,  0.51586"," 1383.84,  656.862,  0.573432"," 1386.74,  889.376,  0.700768"," 1466.18,  1074.9,  0.0827822"," 1239.59,  280.108,  0.216759"," 1257.39,  274.328,  0.911061"," 0,  0,  0"," 1316.09,  274.213,  0.847133"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1283.78,  1074.9,  0.11232"," 1283.74,  1074.91,  0.0981815"," 1292.55,  1074.89,  0.257076",
" 1245.48,  294.853,  0.879578"," 1342.6,  365.468,  0.833665"," 1277.89,  371.342,  0.697336"," 1280.66,  512.624,  0.682612"," 1224.84,  430.126,  0.730856"," 1410.32,  359.628,  0.741424"," 1330.86,  480.364,  0.899189"," 1272,  368.467,  0.774005"," 1336.76,  648.087,  0.616968"," 1286.78,  648.032,  0.610923"," 1260.27,  856.955,  0.593754"," 1283.74,  1074.87,  0.402787"," 1386.81,  651.019,  0.569162"," 1395.63,  898.127,  0.70319"," 1469.01,  1074.9,  0.072698"," 1242.53,  274.356,  0.194122"," 1260.17,  271.446,  0.917257"," 0,  0,  0"," 1322.01,  271.378,  0.857716"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1289.68,  1074.9,  0.183074",
" 1251.42,  294.759,  0.880464"," 1345.6,  365.404,  0.839859"," 1280.79,  371.334,  0.699862"," 1272.03,  509.644,  0.707389"," 1224.88,  427.21,  0.694394"," 1413.26,  359.567,  0.735432"," 1331.02,  480.24,  0.860565"," 1277.77,  365.565,  0.787428"," 1336.78,  651.031,  0.598414"," 1289.65,  651.003,  0.58864"," 1263.19,  868.766,  0.587887"," 1283.89,  1074.88,  0.329694"," 1386.78,  656.815,  0.555546"," 1398.54,  892.319,  0.750742"," 1466.25,  1074.9,  0.0754322"," 1248.48,  274.241,  0.19634"," 1260.29,  271.34,  0.91368"," 0,  0,  0"," 1327.75,  271.258,  0.897489"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1292.56,  1074.9,  0.137588",
" 1257.15,  291.972,  0.88858"," 1348.46,  365.36,  0.848987"," 1283.66,  368.469,  0.702774"," 1260.13,  506.815,  0.785273"," 1230.68,  415.568,  0.658343"," 1413.29,  359.494,  0.722394"," 1333.86,  480.181,  0.842776"," 1280.7,  365.398,  0.840679"," 1336.72,  653.937,  0.579965"," 1286.71,  653.903,  0.576414"," 1266.08,  877.518,  0.606192"," 1283.85,  1074.87,  0.353274"," 1389.67,  659.753,  0.542706"," 1401.39,  898.159,  0.749025"," 1466.27,  1074.9,  0.0968135"," 1254.31,  271.474,  0.240433"," 1263.2,  271.208,  0.885201"," 0,  0,  0"," 1327.76,  268.405,  0.895688"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 0,  0,  0"," 1289.71,  1074.9,  0.150775",
