Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"355.434,97.015,0.71139","338.423,132.288,0.592908","317.613,133.586,0.534946","337.148,172.771,0.247885","371.108,183.167,0.237061","359.337,132.273,0.520059","374.998,170.129,0.1756","0,0,0","334.577,230.146,0.576767","318.903,230.169,0.5845","317.605,307.196,0.815043","307.201,381.504,0.822258","350.165,230.163,0.588626","359.321,300.628,0.802138","350.23,368.475,0.840875","350.153,87.9117,0.845815","359.274,87.9649,0.497873","331.97,87.9047,0.656435","0,0,0","368.502,380.233,0.776537","369.788,377.613,0.764975","346.31,373.687,0.800888","313.69,398.498,0.777046","305.835,395.897,0.7409","307.178,385.448,0.62816",
"410.25,132.318,0.8717","457.22,149.216,0.725783","478.088,142.769,0.636836","0,0,0","0,0,0","436.332,150.592,0.774545","380.208,192.283,0.872444","330.67,171.394,0.717232","491.138,287.604,0.58189","505.523,286.281,0.516154","495.097,389.341,0.813842","534.174,465.09,0.689608","476.823,291.489,0.557686","421.942,389.36,0.676544","421.921,476.835,0.1326","0,0,0","411.57,123.162,0.890704","0,0,0","433.72,116.615,0.887044","0,0,0","0,0,0","422.038,476.844,0.0542106","529.012,476.822,0.150678","534.214,476.827,0.170515","538.158,468.988,0.535938",
"403.761,130.986,0.879192","453.317,149.267,0.766922","475.454,147.933,0.671158","436.353,181.885,0.0658192","421.988,172.72,0.0680325","432.433,150.558,0.7856","378.933,196.25,0.820516","339.719,168.841,0.770624","485.97,290.191,0.551238","504.17,286.305,0.454972","493.76,389.354,0.768054","532.895,465.042,0.66535","474.199,295.384,0.525432","420.655,390.689,0.666733","421.919,476.834,0.157186","0,0,0","408.95,120.606,0.871872","0,0,0","431.133,116.639,0.870006","0,0,0","0,0,0","423.249,476.843,0.0731118","527.687,476.816,0.180955","527.672,476.822,0.188196","538.174,467.664,0.521952",
"401.102,129.691,0.919226","448.092,149.215,0.666959","459.83,146.649,0.544987","451.989,207.982,0.0574299","0,0,0","435.058,149.232,0.741594","391.953,206.669,0.847097","358.035,171.475,0.733614","483.301,287.585,0.552065","493.766,286.289,0.451351","485.964,384.133,0.769276","534.178,466.378,0.599447","474.163,288.908,0.486145","420.678,392.002,0.616396","421.937,476.834,0.132259","399.79,123.146,0.0767021","402.42,120.512,0.939298","0,0,0","423.324,112.701,0.894901","0,0,0","0,0,0","423.245,476.843,0.0544658","530.307,476.822,0.139864","531.599,476.83,0.148441","538.172,476.796,0.453879",
"399.757,129.684,0.866663","444.212,142.766,0.566418","451.973,141.429,0.393216","0,0,0","0,0,0","442.82,145.359,0.776129","414.203,214.485,0.831479","380.239,180.54,0.770626","478.083,287.548,0.547386","485.955,286.245,0.464377","484.57,382.865,0.803458","529.018,459.841,0.574709","472.851,288.874,0.497878","422.017,394.602,0.619144","423.252,476.836,0.0812951","0,0,0","401.076,119.295,0.927512","0,0,0","421.922,110.105,0.936933","0,0,0","0,0,0","0,0,0","543.337,466.398,0.205489","0,0,0","539.41,466.337,0.462183",
"395.904,129.645,0.808916","438.955,154.476,0.574994","424.62,158.39,0.409954","399.802,191.015,0.0545139","0,0,0","451.957,151.875,0.680743","414.164,214.461,0.710972","391.982,187.118,0.529874","478.086,286.294,0.549607","484.614,286.241,0.403244","483.275,382.842,0.742817","526.355,454.557,0.76553","474.211,287.601,0.547476","423.356,390.686,0.613658","422.003,476.833,0.184825","391.981,120.561,0.185525","401.037,119.267,0.879231","0,0,0","420.671,110.124,0.876397","0,0,0","0,0,0","423.256,476.843,0.0812406","543.329,466.359,0.437407","0,0,0","532.892,454.644,0.463359",
"393.303,129.739,0.875973","435.081,151.848,0.76234","423.264,154.505,0.609725","420.662,221.049,0.661738","393.256,201.47,0.756121","451.973,149.219,0.788575","442.884,214.555,0.840716","406.325,191.016,0.721909","478.113,286.292,0.564779","484.621,286.257,0.415687","483.328,389.355,0.778087","528.98,461.148,0.510565","475.472,287.565,0.571595","422.019,397.172,0.648831","423.294,476.836,0.0962947","0,0,0","397.186,120.518,0.873091","0,0,0","418.057,110.162,0.892464","0,0,0","0,0,0","0,0,0","543.351,466.406,0.272778","0,0,0","539.426,476.794,0.376267",
"393.318,133.597,0.823576","441.549,154.474,0.776008","423.304,161.012,0.709122","388.076,206.672,0.765197","348.898,194.911,0.738206","455.947,150.586,0.822279","463.694,210.574,0.847159","416.753,196.236,0.558053","479.398,287.558,0.555317","483.304,287.559,0.373222","484.572,389.338,0.776532","536.833,476.803,0.754888","476.804,288.886,0.51047","423.3,391.96,0.625085","423.274,476.836,0.0949039","0,0,0","395.877,123.15,0.822432","0,0,0","415.487,112.706,0.849169","0,0,0","0,0,0","0,0,0","540.742,476.806,0.215763","540.742,476.818,0.240758","539.43,476.817,0.53134",
"393.251,134.89,0.840531","441.532,159.682,0.787641","421.998,164.942,0.706206","390.665,213.15,0.869227","356.738,193.685,0.719831","458.53,150.594,0.803111","474.234,202.784,0.907186","423.324,205.358,0.690755","480.709,287.584,0.554302","480.704,287.601,0.355773","487.216,384.166,0.733639","538.06,476.797,0.74051","480.691,288.897,0.500464","421.955,389.36,0.647722","422.025,476.835,0.139963","390.666,128.381,0.0593722","395.894,124.455,0.8151","0,0,0","419.381,115.339,0.838806","0,0,0","0,0,0","423.324,476.844,0.0520473","545.935,476.79,0.252757","0,0,0","539.451,476.813,0.567262",
"394.612,136.191,0.78602","437.647,158.372,0.737326","423.283,162.341,0.669481","397.18,214.507,0.785858","360.691,194.956,0.688314","453.352,150.604,0.831191","476.784,193.66,0.862625","424.616,217.11,0.711704","481.998,288.896,0.570531","485.954,288.869,0.435455","495.039,388.041,0.771603","535.487,464.995,0.711271","475.517,291.5,0.530745","420.652,390.685,0.682581","422,476.835,0.143454","390.697,129.647,0.0745489","399.763,127.053,0.826919","0,0,0","420.658,117.906,0.859453","0,0,0","0,0,0","423.307,476.843,0.0541259","547.239,466.378,0.344356","544.655,468.987,0.316553","538.129,467.674,0.565702",
